11 leinster street	1		italian
upper gardiner street	1		italian
mountjoy square	1		italian
fitzgibbon street	1		italian
great charles street	1		italian
north circular road	1		italian
4 n. strand road	1		italian
16 n. strand road	1		italian
17 n. strand road	1		italian
164 n. strand road	1		italian
21 n. strand road	1		italian
newcomen bridge	1		italian
annesley bridge	1		italian
howth road	1		italian
malahide road	1		italian
11 2 dorset street lower	1		italian
clongowes fields	1		italian
61 grafton street	1		italian
college green	1		italian
52 grafton street	1		italian
8 ormond quay upper	1		italian
crampton court	1		italian
sycamore street	1		italian
jervis street	1		italian
30 essex street east	1		italian
29 essex street east	1		italian
merchant's arch	1		italian
metal bridge	1		italian
wellington quay	1		italian
42 camden street lower	1		italian
25 bachelor's walk	1		italian
james's street	1		italian
5 dame street	1		italian
35 dame street	1		italian
28 james's street	1		italian
48 james's street	1		italian
2 sackville st. lower	1		italian
12 sackville st. lower	1		italian
carlisle bridge	1		italian
21 watling street	1		italian
27 bachelor's walk	1		italian
31 dame street	1		italian
island street	1		italian
watling street	1		italian
49 fleet street	1		italian
1 bedford row	1		italian
10 bedford row	1		italian
19 ormond quay lower	1		italian
31 mary's abbey	1		italian
christchurch place	1		italian
dame street	1		italian
lord edward street	1		italian
cork hill	1		italian
37 parliament street	1		italian
27 parliament street	1		italian
30 parliament street	1		italian
33 dame street	1		italian
14 nelson street	1		italian
